Longitude,Latitude,OBJECTID,site_name,Suburb,Location,Accessible
151.181929263962000,-33.895707290374300,1,WJ Thurbon Playground,Newtown,Park,No wheelchair access
151.192401418728000,-33.879331234252700,2,M J (Paddy) Dougherty Reserve,Glebe,Reserve,Wheelchair accessible
151.184711743643000,-33.879970750430500,3,St James Park,Glebe,Park,Wheelchair accessible
151.184337379292000,-33.880300859699600,4,St James Park,Glebe,Park,
151.184114049379000,-33.880467635377700,5,John St Reserve,Glebe,Park,
151.181566894899000,-33.883849715307500,6,May Pitt Playground,Forest Lodge,Park,No wheelchair access
151.186767862249000,-33.884001498523800,7,Seamer St Reserve,Forest Lodge,Park,No wheelchair access
151.17899274932800,-33.886040056080100,8,Lyons Rd Reserve,Camperdown,Park,No wheelchair access
151.189226748109000,-33.875879196186700,9,Glebe Foreshore Walk Stage 5,Glebe,Park,Wheelchair accessible
151.196594080231000,-33.887076309274100,10,Peace Park,Chippendale,Park,No wheelchair access
151.214471144686000,-33.878251064461000,11,Oxford Square,Darlinghurst,Park,No wheelchair access
151.212512473815000,-33.883014607912100,12,Frog Hollow Reserve,Surry Hills,Reserve,Wheelchair accessible
151.182457060602000,-33.908968580211400,13,Sydney Park,Alexandria,Park,Wheelchair accessible
151.182845743827000,-33.909346010931200,14,Sydney Park,Alexandria,Park,Wheelchair accessible
151.184842099567000,-33.907611845655400,15,Sydney Park,Alexandria,Park,No wheelchair access
151.18488163992800,-33.907573022753500,16,Sydney Park,Alexandria,Park,No wheelchair access
151.188142675030000,-33.909400890581500,17,Sydney Park,Alexandria,Park,No wheelchair access
151.187063809883000,-33.90919943443260,18,Sydney Park,Alexandria,Park,Wheelchair accessible
151.184866165273000,-33.914173118821800,19,Sydney Park,Alexandria,Park,Wheelchair accessible
151.182015019567000,-33.907539030354400,20,Sydney Park,Alexandria,Park,Wheelchair accessible
151.182678975120000,-33.908806026891200,21,Sydney Park,Alexandria,Park,No wheelchair access
151.184048931298000,-33.911919992882500,22,Sydney Park,Alexandria,Park,Wheelchair accessible
151.186085012148000,-33.911069011000800,23,Sydney Park,Alexandria,Park,Wheelchair accessible
151.184236946196000,-33.913941925030300,24,Sydney Park,Alexandria,Park,Wheelchair accessible
151.183482963192000,-33.913937927488400,25,Sydney Park,Alexandria,Park,Wheelchair accessible
151.183482963192000,-33.913937927488400,26,Sydney Park,Alexandria,Park,No wheelchair access
151.181650059892000,-33.908479018217700,27,Sydney Park,Alexandria,Park,No wheelchair access
151.208238520988000,-33.870108825865100,28,Pitt Street Mall,Sydney,Footway,Wheelchair accessible
151.208299742738000,-33.869807091325900,29,Pitt Street Mall,Sydney,Footway,Wheelchair accessible
151.208325796575000,-33.869093199729000,30,Pitt Street Mall,Sydney,Footway,Wheelchair accessible
151.208262558261000,-33.869351801691700,31,Pitt Street Mall,Sydney,Footway,Wheelchair accessible
151.201756198430000,-33.858078562451500,32,Munn Reserve,Barangaroo,Park,No wheelchair access
151.182787535637000,-33.90384458016790,33,Amy Street Reserve,Erskineville,Park,
151.182844017273000,-33.903996003115100,34,Amy Street Reserve,Erskineville,Reserve,Wheelchair accessible
151.182073212531000,-33.892720796347100,35,5010 O'Connell Street,Newtown,Park,No wheelchair access
151.212488494953000,-33.895792289856100,36,Elizabeth McCrea Playground,Redfern,Park,Wheelchair accessible
151.184712875901000,-33.903959272478000,37,5040 MacDonald Street,Erskineville,Footway,Wheelchair accessible
151.194494710401000,-33.879233434313800,38,Wentworth Park,Glebe,Park,No wheelchair access
151.193467058077000,-33.875655237119800,39,Wentworth Park,Glebe,Park,No wheelchair access
151.191922264887000,-33.87541588680130,40,Wentworth Park,Glebe,Park,No wheelchair access
151.1919404423610,-33.875630406746000,41,Wentworth Park,Glebe,Park,No wheelchair access
151.194613463113000,-33.877881574299700,42,Wentworth Park,Glebe,Park,Wheelchair accessible
151.194346830202000,-33.878770748781500,43,Wentworth Park,Glebe,Park,Wheelchair accessible
151.18369110976000,-33.901100318416400,44,5010 Morrissey Road,Erskineville,Property,No wheelchair access
151.210171129570000,-33.874671960984900,45,Hyde Park South,Sydney,Park,No wheelchair access
151.212172993785000,-33.874924209283900,46,Hyde Park South,Sydney,Park,No wheelchair access
151.210007716153000,-33.876367747928900,47,Hyde Park South,Sydney,Park,No wheelchair access
151.209834610829000,-33.875576839402900,48,Hyde Park South,Sydney,Park,No wheelchair access
151.211748064734000,-33.876461104014300,49,Hyde Park South,Sydney,Park,No wheelchair access
151.211749512996000,-33.876459051029000,50,Hyde Park South,Sydney,Park,No wheelchair access
151.205577272649000,-33.912940858789100,51,5020 Rothschild Avenue,Rosebery,Footway,No wheelchair access
151.21058902177100,-33.901649999138400,52,5010 Archibald Avenue,Waterloo,Footway,Wheelchair accessible
151.187697900320000,-33.892184556786000,53,4010 King Street,Newtown,Footway,
151.18759498463500,-33.89225500093890,54,4010 King Street,Newtown,Reserve,Wheelchair accessible
151.183440498827000,-33.899384770088200,55,4090 Erskineville Road,Erskineville,Footway,No wheelchair access
151.220380491124000,-33.881248031891900,56,4020 Barcom Avenue,Darlinghurst,Reserve,Wheelchair accessible
151.221268135357000,-33.894917926465000,57,4220 Cleveland Street,Moore Park,Park,No wheelchair access
151.204833079643000,-33.902500970917900,58,4060 George Street,Waterloo,Footway,No wheelchair access
151.206102753478000,-33.909108829796300,59,Matron Ruby Park - 3 Joynton Avenue,Zetland,Park,
